DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
240,GILGANDRA,2826814,NORMAL,"",,6,"ARMATREE ST","ARMATREE",2828,"6, 7/3/758031",RU5,4046,M,01/07/2023,18200,14A(1),6A(1),01/07/2022,18200,14A(1),6A(1),01/07/2021,14500,14A(1),6A(1),01/07/2020,7290,14A(1),6A(1),01/07/2019,7290,14A(1),6A(1),
240,GILGANDRA,2977455,NORMAL,"",,387,"NEWELL HWY","GILGANDRA",2827,"1/124533 16/665367 21, 52, 117, 131/753382 1/1047475",RU1,634.2,H,01/07/2023,1810000,14A(1),6A(1),01/07/2022,1810000,14A(1),6A(1),01/07/2021,1410000,14A(1),6A(1),01/07/2020,1290000,14A(1),6A(1),01/07/2019,1290000,14A(1),6A(1),
240,GILGANDRA,2881758,NORMAL,"",,378,"WAKES LANE","GILGANDRA",2827,"550/1036801",RU1,35.25,H,01/07/2023,157000,14A(1),6A(2),01/07/2022,143000,14A(1),6A(2),01/07/2021,130000,14A(1),6A(2),01/07/2020,130000,14A(1),6A(2),01/07/2019,130000,14A(1),6A(2),
240,GILGANDRA,2875567,NORMAL,"",,1326,"BERIDA-INNISFAIL RD","COLLIE",2827,"34/752576 2/1033263",RU1,997.8,H,01/07/2023,2360000,14A(1),6A(1),01/07/2022,2150000,14A(1),6A(1),01/07/2021,1870000,14A(1),6A(1),01/07/2020,1750000,14A(1),6A(1),01/07/2019,1560000,14A(1),6A(1),
240,GILGANDRA,2875836,NORMAL,"",,57,"WRIGLEY ST","GILGANDRA",2827,"18/628390",R1,1189,M,01/07/2023,33400,14A(1),6A(1),01/07/2022,32600,14A(1),6A(1),01/07/2021,27200,14A(1),6A(1),01/07/2020,27200,14A(1),6A(1),01/07/2019,27200,14A(1),6A(1),
240,GILGANDRA,2875837,NORMAL,"",,96,"WAMBOIN ST","GILGANDRA",2827,"19/628390",R1,864.9,M,01/07/2023,26500,14A(1),6A(1),01/07/2022,26500,14A(1),6A(1),01/07/2021,22100,14A(1),6A(1),01/07/2020,22100,14A(1),6A(1),01/07/2019,22100,14A(1),6A(1),
240,GILGANDRA,2875846,NORMAL,"",,515,"OLD MILL RD","BALLADORAN",2822,"21/752579",RU1,259,H,01/07/2023,415000,14A(1),6A(1),01/07/2022,415000,14A(1),6A(1),01/07/2021,369000,14A(1),6A(1),01/07/2020,352000,14A(1),6A(1),01/07/2019,352000,14A(1),6A(1),
240,GILGANDRA,2875848,NORMAL,"",,6,"MURRAY ST","TOORAWEENAH",2817,"15, 16, 19/5/7415",RU5,2459.6,M,01/07/2023,22200,14A(1),6A(1),01/07/2022,22200,14A(1),6A(1),01/07/2021,14800,14A(1),6A(1),01/07/2020,13500,14A(1),6A(1),01/07/2019,13500,14A(1),6A(1),
240,GILGANDRA,2888810,NORMAL,"",,2073,"GUNDEA RD","MENDOORAN",2842,"31, 32/753406",RU1,1214,H,01/07/2023,3340000,14A(1),6A(1),01/07/2022,2790000,14A(1),6A(1),01/07/2021,2430000,14A(1),6A(1),01/07/2020,2000000,14A(1),6A(1),01/07/2019,1820000,14A(1),6A(1),
240,GILGANDRA,2888814,NORMAL,"",,1902,"GUNDEA RD","MENDOORAN",2842,"33/753406",RU1,621.4,H,01/07/2023,1330000,14A(1),6A(1),01/07/2022,1110000,14A(1),6A(1),01/07/2021,968000,14A(1),6A(1),01/07/2020,922000,14A(1),6A(1),01/07/2019,839000,14A(1),6A(1),
240,GILGANDRA,2879489,NORMAL,"",,3520,"CASTLEREAGH HWY","GILGANDRA",2827,"6, 7/11/758159",RU1,4047,M,01/07/2023,2500,14A(1),6A(1),01/07/2022,1390,14A(1),6A(1),01/07/2021,1390,14A(1),6A(1),01/07/2020,1390,14A(1),6A(1),01/07/2019,1390,14A(1),6A(1),
240,GILGANDRA,2879490,NORMAL,"",,49,"BREELONG-BALLADORAN RD","BREELONG",2827,"6, 7, 8/14/758159",RU1,6070.5,M,01/07/2023,3130,14A(1),6A(1),01/07/2022,1740,14A(1),6A(1),01/07/2021,1740,14A(1),6A(1),01/07/2020,1740,14A(1),6A(1),01/07/2019,1740,14A(1),6A(1),
240,GILGANDRA,2879491,NORMAL,"",,158,"BREELONG-BALLADORAN RD","BREELONG",2827,"A/392683 47/661612 3, 4, 45, 46, 71, 84, 85, 86, 92/753372 9, 10/14/758159 440/1004390",RU1,738.3,H,01/07/2023,2310000,14A(1),6A(1),01/07/2022,1930000,14A(1),6A(1),01/07/2021,1680000,14A(1),6A(1),01/07/2020,1600000,14A(1),6A(1),01/07/2019,1460000,14A(1),6A(1),
240,GILGANDRA,2880013,NORMAL,"",,127,"WEST MIALLA RD","BALLADORAN",2822,"1/954422",RU1,4047,M,01/07/2023,7200,14A(1),6A(1),01/07/2022,4000,14A(1),6A(1),01/07/2021,4000,14A(1),6A(1),01/07/2020,4000,14A(1),6A(1),01/07/2019,4000,14A(1),6A(1),
240,GILGANDRA,2880449,NORMAL,"",,3113,"BEARBONG RD","TOORAWEENAH",2817,"5, 6/130645 6, 7/130880 3/218965 2/218967 31/230834 45/230835 12/527940 30/753402 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 27/753406",RU1,1213.9,H,01/07/2023,3600000,14A(1),6A(1),01/07/2022,3000000,14A(1),6A(1),01/07/2021,2610000,14A(1),6A(1),01/07/2020,2150000,14A(1),6A(1),01/07/2019,1960000,14A(1),6A(1),
240,GILGANDRA,2887238,NORMAL,"",,1235,"LEECHES CREEK RD","GILGANDRA",2827,"21/1037294",RU1,501.2,H,01/07/2023,635000,14A(1),6A(1),01/07/2022,635000,14A(1),6A(1),01/07/2021,565000,14A(1),6A(1),01/07/2020,539000,14A(1),6A(1),01/07/2019,539000,14A(1),6A(1),
240,GILGANDRA,2887239,NORMAL,"",,1345,"LEECHES CREEK RD","GILGANDRA",2827,"22/1037294",RU1,307.4,H,01/07/2023,448000,14A(1),6A(1),01/07/2022,448000,14A(1),6A(1),01/07/2021,399000,14A(1),6A(1),01/07/2020,380000,14A(1),6A(1),01/07/2019,380000,14A(1),6A(1),
240,GILGANDRA,2914777,NORMAL,"",,730,"GUNDEA RD","TOORAWEENAH",2817,"77/704063",RU1,654.3,H,01/07/2023,1440000,14A(1),6A(1),01/07/2022,1200000,14A(1),6A(1),01/07/2021,1050000,14A(1),6A(1),01/07/2020,1000000,14A(1),6A(1),01/07/2019,918000,14A(1),6A(1),
240,GILGANDRA,2920076,NORMAL,"",,1588,"SEVEN MILE RD","TONDERBURINE",2817,"101/753377",RU1,447.7,H,01/07/2023,1400000,14A(1),6A(1),01/07/2022,1400000,14A(1),6A(1),01/07/2021,1090000,14A(1),6A(1),01/07/2020,996000,14A(1),6A(1),01/07/2019,996000,14A(1),6A(1),
240,GILGANDRA,2920077,NORMAL,"",,3088,"NATIONAL PARK RD","TONDERBURINE",2817,"77/753397",RU1,228,H,01/07/2023,742000,14A(1),6A(1),01/07/2022,742000,14A(1),6A(1),01/07/2021,575000,14A(1),6A(1),01/07/2020,523000,14A(1),6A(1),01/07/2019,523000,14A(1),6A(1),
240,GILGANDRA,2927716,NORMAL,"",,177,"WEST MIALLA RD","BALLADORAN",2822,"1/2/758045",RU1,2023,M,01/07/2023,2080,14A(1),6A(1),01/07/2022,1160,14A(1),6A(1),01/07/2021,1160,14A(1),6A(1),01/07/2020,1160,14A(1),6A(1),01/07/2019,1160,14A(1),6A(1),
240,GILGANDRA,2927717,NORMAL,"",,171,"WEST MIALLA RD","BALLADORAN",2822,"6/1/758045",RU1,2023,M,01/07/2023,2080,14A(1),6A(1),01/07/2022,1160,14A(1),6A(1),01/07/2021,1160,14A(1),6A(1),01/07/2020,1160,14A(1),6A(1),01/07/2019,1160,14A(1),6A(1),
240,GILGANDRA,2927718,NORMAL,"",,173,"WEST MIALLA RD","BALLADORAN",2822,"7/1/758045",RU1,2023,M,01/07/2023,2080,14A(1),6A(1),01/07/2022,1160,14A(1),6A(1),01/07/2021,1160,14A(1),6A(1),01/07/2020,1160,14A(1),6A(1),01/07/2019,1160,14A(1),6A(1),
240,GILGANDRA,2927719,NORMAL,"",,175,"WEST MIALLA RD","BALLADORAN",2822,"8/1/758045",RU1,2023,M,01/07/2023,2080,14A(1),6A(1),01/07/2022,1160,14A(1),6A(1),01/07/2021,1160,14A(1),6A(1),01/07/2020,1160,14A(1),6A(1),01/07/2019,1160,14A(1),6A(1),
240,GILGANDRA,2946099,NORMAL,"",,121,"MYRTLE ST","GILGANDRA",2827,"4/263382",R1,1377,M,01/07/2023,23300,14A(1),6A(1),01/07/2022,22800,14A(1),6A(1),01/07/2021,19000,14A(1),6A(1),01/07/2020,19000,14A(1),6A(1),01/07/2019,19000,14A(1),6A(1),
240,GILGANDRA,2946101,NORMAL,"",,,"WARREN RD","GILGANDRA",2827,"5/263382",E4,2.195,H,01/07/2023,80000,14A(1),6A(1),01/07/2022,80000,14A(1),6A(1),01/07/2021,80000,14A(1),6A(1),01/07/2020,80000,14A(1),6A(1),01/07/2019,80000,14A(1),6A(1),
240,GILGANDRA,2921515,NORMAL,"",,75,"WAMBOIN ST","GILGANDRA",2827,"462/1041452",R1,789.5,M,01/07/2023,29100,14A(1),6A(1),01/07/2022,28400,14A(1),6A(1),01/07/2021,23700,14A(1),6A(1),01/07/2020,23700,14A(1),6A(1),01/07/2019,23700,14A(1),6A(1),
240,GILGANDRA,2921516,NORMAL,"",,6,"RAWSON ST","GILGANDRA",2827,"461/1041452",R1,743.2,M,01/07/2023,29100,14A(1),6A(1),01/07/2022,28400,14A(1),6A(1),01/07/2021,23700,14A(1),6A(1),01/07/2020,23700,14A(1),6A(1),01/07/2019,23700,14A(1),6A(1),
240,GILGANDRA,2968662,NORMAL,"",,367,"EAST COONAMBLE RD","GILGANDRA",2827,"43/753411 7002/1026132 Licence 387316",RU1,3.927,H,01/07/2023,83100,14A(1),14I,01/07/2022,46200,14A(1),14I,01/07/2021,46200,14A(1),14I,01/07/2020,46200,14A(1),14I,01/07/2019,46200,14A(1),14I,
240,GILGANDRA,2979845,NORMAL,"",,1,"CHRISTIE DR","GILGANDRA",2827,"1/1047720",R1,2600,M,01/07/2023,46200,14A(1),6A(1),01/07/2022,42000,14A(1),6A(1),01/07/2021,35000,14A(1),6A(1),01/07/2020,35000,14A(1),6A(1),01/07/2019,35000,14A(1),6A(1),
240,GILGANDRA,2979848,NORMAL,"",,6,"CHRISTIE DR","GILGANDRA",2827,"12/1047720",R1,3200,M,01/07/2023,46200,14A(1),6A(1),01/07/2022,42000,14A(1),6A(1),01/07/2021,35000,14A(1),6A(1),01/07/2020,35000,14A(1),6A(1),01/07/2019,35000,14A(1),6A(1),
240,GILGANDRA,2979849,NORMAL,"",,4,"CHRISTIE DR","GILGANDRA",2827,"13/1047720",R1,3442,M,01/07/2023,46200,14A(1),6A(1),01/07/2022,42000,14A(1),6A(1),01/07/2021,35000,14A(1),6A(1),01/07/2020,35000,14A(1),6A(1),01/07/2019,35000,14A(1),6A(1),
240,GILGANDRA,2979850,NORMAL,"",,2,"CHRISTIE DR","GILGANDRA",2827,"14/1047720",R1,3050,M,01/07/2023,46200,14A(1),6A(1),01/07/2022,42000,14A(1),6A(1),01/07/2021,35000,14A(1),6A(1),01/07/2020,35000,14A(1),6A(1),01/07/2019,35000,14A(1),6A(1),
240,GILGANDRA,2979852,NORMAL,"",,3,"CHRISTIE DR","GILGANDRA",2827,"2/1047720",R1,2600,M,01/07/2023,46200,14A(1),6A(1),01/07/2022,42000,14A(1),6A(1),01/07/2021,35000,14A(1),6A(1),01/07/2020,35000,14A(1),6A(1),01/07/2019,35000,14A(1),6A(1),
240,GILGANDRA,2979853,NORMAL,"",,1,"BENSLEY CL","GILGANDRA",2827,"3/1047720",R1,2785,M,01/07/2023,46200,14A(1),6A(1),01/07/2022,42000,14A(1),6A(1),01/07/2021,35000,14A(1),6A(1),01/07/2020,35000,14A(1),6A(1),01/07/2019,35000,14A(1),6A(1),
240,GILGANDRA,2979854,NORMAL,"",,3,"BENSLEY CL","GILGANDRA",2827,"4/1047720",R1,2843,M,01/07/2023,46200,14A(1),6A(1),01/07/2022,42000,14A(1),6A(1),01/07/2021,35000,14A(1),6A(1),01/07/2020,35000,14A(1),6A(1),01/07/2019,35000,14A(1),6A(1),
240,GILGANDRA,2979855,NORMAL,"",,2,"BENSLEY CL","GILGANDRA",2827,"5/1047720",R1,3150,M,01/07/2023,46200,14A(1),6A(1),01/07/2022,42000,14A(1),6A(1),01/07/2021,35000,14A(1),6A(1),01/07/2020,35000,14A(1),6A(1),01/07/2019,35000,14A(1),6A(1),
240,GILGANDRA,2979856,NORMAL,"",,5,"CHRISTIE DR","GILGANDRA",2827,"6/1047720",R1,3277,M,01/07/2023,46200,14A(1),6A(1),01/07/2022,42000,14A(1),6A(1),01/07/2021,35000,14A(1),6A(1),01/07/2020,35000,14A(1),6A(1),01/07/2019,35000,14A(1),6A(1),
240,GILGANDRA,2979857,NORMAL,"",,7,"CHRISTIE DR","GILGANDRA",2827,"7/1047720",R1,3250,M,01/07/2023,46200,14A(1),6A(1),01/07/2022,42000,14A(1),6A(1),01/07/2021,35000,14A(1),6A(1),01/07/2020,35000,14A(1),6A(1),01/07/2019,35000,14A(1),6A(1),
240,GILGANDRA,2979858,NORMAL,"",,9,"CHRISTIE DR","GILGANDRA",2827,"8/1047720",R1,2920,M,01/07/2023,46200,14A(1),6A(1),01/07/2022,42000,14A(1),6A(1),01/07/2021,35000,14A(1),6A(1),01/07/2020,35000,14A(1),6A(1),01/07/2019,35000,14A(1),6A(1),
240,GILGANDRA,2979859,NORMAL,"",,12,"CHRISTIE DR","GILGANDRA",2827,"9/1047720",R1,3513,M,01/07/2023,46200,14A(1),6A(1),01/07/2022,42000,14A(1),6A(1),01/07/2021,35000,14A(1),6A(1),01/07/2020,35000,14A(1),6A(1),01/07/2019,35000,14A(1),6A(1),
240,GILGANDRA,3003180,NORMAL,"",,,"HARGRAVES LANE","GILGANDRA",2827,"287/1055672",C3,33.8,H,01/07/2023,98800,14A(1),14G,01/07/2022,94100,14A(1),14G,01/07/2021,88000,14A(1),14G,01/07/2020,88000,14A(1),14G,01/07/2019,88000,14A(1),14G,
240,GILGANDRA,3003181,NORMAL,"",,63-67,"WARREN RD","GILGANDRA",2827,"256/752554 288/1055672",RE1,28.455,H,01/07/2023,190000,14A(1),14G,01/07/2022,181000,14A(1),14G,01/07/2021,170000,14A(1),14G,01/07/2020,170000,14A(1),14G,01/07/2019,170000,14A(1),14G,
240,GILGANDRA,2977460,NORMAL,"",,4554,"NEWELL HWY","TOORAWEENAH",2817,"13/753402 2/1044049",RU1,606.1,H,01/07/2023,1290000,14A(1),6A(1),01/07/2022,1080000,14A(1),6A(1),01/07/2021,940000,14A(1),6A(1),01/07/2020,896000,14A(1),6A(1),01/07/2019,815000,14A(1),6A(1),
240,GILGANDRA,2977461,NORMAL,"",,38,"O'CONNERS RD","TOORAWEENAH",2817,"20/749398 2/753402 1/780245 3/1044049",RU1,1600,H,01/07/2023,3500000,14A(1),14G,01/07/2022,2920000,14A(1),14G,01/07/2021,2540000,14A(1),14G,01/07/2020,2420000,14A(1),14G,01/07/2019,2200000,14A(1),14G,
240,GILGANDRA,3389071,NORMAL,"",,29,"WARRIE ST","GILGANDRA",2827,"279/44893 Crown Reserve 96356",R1,1274,M,01/07/2023,25800,14A(1),6A(1),01/07/2022,25200,14A(1),6A(1),01/07/2021,15000,14A(1),6A(1),01/07/2020,15000,14A(1),6A(1),01/07/2019,15000,14A(1),6A(1),
240,GILGANDRA,3378418,NORMAL,"",,10,"WAUGAN ST","GILGANDRA",2827,"901/1125234",R1,1111,M,01/07/2023,32300,14A(1),6A(1),01/07/2022,31600,14A(1),6A(1),01/07/2021,18900,14A(1),6A(1),01/07/2020,18900,14A(1),6A(1),01/07/2019,18900,14A(1),6A(1),
240,GILGANDRA,3378419,NORMAL,"",,8,"WAUGAN ST","GILGANDRA",2827,"902/1125234",R1,1922,M,01/07/2023,48900,14A(1),6A(1),01/07/2022,47800,14A(1),6A(1),01/07/2021,28500,14A(1),6A(1),01/07/2020,28500,14A(1),6A(1),01/07/2019,28500,14A(1),6A(1),
240,GILGANDRA,3406634,NORMAL,"",,138,"GILMOURS ACCESS RD","BREELONG",2827,"25, 26, 36, 37, 66/753372 3/1127588",RU1,395,H,01/07/2023,972000,14A(1),6A(1),01/07/2022,810000,14A(1),6A(1),01/07/2021,705000,14A(1),6A(1),01/07/2020,672000,14A(1),6A(1),01/07/2019,611000,14A(1),6A(1),
240,GILGANDRA,3407191,NORMAL,"",,400,"GILMOURS ACCESS RD","BREELONG",2827,"23/753371 41/753372 2/1127588",RU1,401.39,H,01/07/2023,776000,14A(1),6A(1),01/07/2022,647000,14A(1),6A(1),01/07/2021,563000,14A(1),6A(1),01/07/2020,537000,14A(1),6A(1),01/07/2019,489000,14A(1),6A(1),
240,GILGANDRA,3379558,NORMAL,"",,,"RAILWAY ST","GILGANDRA",2827,"Railway Land Lease 65/430/2428-02",SP2,5671,M,01/07/2023,43100,14A(1),6A(1),01/07/2022,41100,14A(1),6A(1),01/07/2021,37400,14A(1),6A(1),01/07/2020,37400,14A(1),6A(1),01/07/2019,37400,14A(1),6A(1),
240,GILGANDRA,3403740,NORMAL,"",,3377,"CASTLEREAGH HWY","BREELONG",2827,"200/1004416 11/1006598",RU1,127.69,H,01/07/2023,288000,14A(1),6A(2),01/07/2022,262000,14A(1),6A(2),01/07/2021,239000,14A(1),6A(2),01/07/2020,239000,14A(1),6A(2),01/07/2019,239000,14A(1),6A(2),
240,GILGANDRA,3390698,NORMAL,"",,107,"BIDDON-BEARBONG RD","BIDDON",2827,"26/753389 PT 7002/1025231 7006/1120326 7004/1121610 PT 7005/1121678 Licence 571071",RU1,446.539,H,01/07/2023,877000,14A(1),14I,01/07/2022,731000,14A(1),14I,01/07/2021,636000,14A(1),14I,01/07/2020,606000,14A(1),14I,01/07/2019,551000,14A(1),14I,
240,GILGANDRA,3417370,NORMAL,"",,2176,"HILLSIDE RD","BIDDON",2827,"10, 14, 15, 16, 29, 31, 38/753389",RU1,909.8,H,01/07/2023,3130000,14A(1),6A(1),01/07/2022,3130000,14A(1),6A(1),01/07/2021,2430000,14A(1),6A(1),01/07/2020,2210000,14A(1),6A(1),01/07/2019,2210000,14A(1),6A(1),
240,GILGANDRA,3405487,NORMAL,"",,19,"MUIRS RD","MENDOORAN",2842,"18, 19, 29/753404 1/822438",RU1,413.2,H,01/07/2023,924000,14A(1),6A(1),01/07/2022,770000,14A(1),6A(1),01/07/2021,670000,14A(1),6A(1),01/07/2020,639000,14A(1),6A(1),01/07/2019,581000,14A(1),6A(1),
240,GILGANDRA,3419163,NORMAL,"",,109,"WARREN RD","GILGANDRA",2827,"221/1130983",R1,4050,M,01/07/2023,47100,14A(1),6A(1),01/07/2022,42900,14A(1),6A(1),01/07/2021,35800,14A(1),6A(1),01/07/2020,35800,14A(1),6A(1),01/07/2019,35800,14A(1),6A(1),
240,GILGANDRA,3419165,NORMAL,"",,103-105,"WARREN RD","GILGANDRA",2827,"222/1130983",E4,2.438,H,01/07/2023,58200,14A(1),6A(1),01/07/2022,58200,14A(1),6A(1),01/07/2021,58200,14A(1),6A(1),01/07/2020,58200,14A(1),6A(1),01/07/2019,58200,14A(1),6A(1),
240,GILGANDRA,3413977,NORMAL,"",,442,"DOOROOMBAH RD","TOORAWEENAH",2817,"86/753401 51/753414",RU1,268.1,H,01/07/2023,911000,14A(1),6A(1),01/07/2022,911000,14A(1),6A(1),01/07/2021,706000,14A(1),6A(1),01/07/2020,642000,14A(1),6A(1),01/07/2019,642000,14A(1),6A(1),
240,GILGANDRA,3413979,NORMAL,"",,318,"DOOROOMBAH RD","TOORAWEENAH",2817,"38, 39/753414",RU1,129.49,H,01/07/2023,185000,14A(1),6A(2),01/07/2022,177000,14A(1),6A(2),01/07/2021,161000,14A(1),6A(2),01/07/2020,161000,14A(1),6A(2),01/07/2019,161000,14A(1),6A(2),
240,GILGANDRA,3415559,NORMAL,"",,7,"PINES DR","GILGANDRA",2827,"7, 8, 9, 10/261414",E4,1.636,H,01/07/2023,71200,14A(1),6A(1),01/07/2022,71200,14A(1),6A(1),01/07/2021,71200,14A(1),6A(1),01/07/2020,71200,14A(1),6A(1),01/07/2019,71200,14A(1),6A(1),
240,GILGANDRA,3418885,NORMAL,"",,731,"KICKABIL RD","BALLADORAN",2822,"25, 29, 36/752575",RU1,744.25,H,01/07/2023,757000,14A(1),6A(1),01/07/2022,757000,14A(1),6A(1),01/07/2021,673000,14A(1),6A(1),01/07/2020,641000,14A(1),6A(1),01/07/2019,641000,14A(1),6A(1),
240,GILGANDRA,3407215,NORMAL,"",,3822,"TOORAWEENAH RD","TOORAWEENAH",2817,"43/810930 1/1124931",RU1,418.648,H,01/07/2023,862000,14A(1),6A(1),01/07/2022,719000,14A(1),6A(1),01/07/2021,626000,14A(1),6A(1),01/07/2020,597000,14A(1),6A(1),01/07/2019,543000,14A(1),6A(1),
240,GILGANDRA,3408385,NORMAL,"MALABAR",,36,"FORANS ACCESS RD","CURBAN",2827,"1/1128250",RU1,560.3,H,01/07/2023,1740000,14A(1),6A(1),01/07/2022,1590000,14A(1),6A(1),01/07/2021,1390000,14A(1),6A(1),01/07/2020,1300000,14A(1),6A(1),01/07/2019,1160000,14A(1),6A(1),
