DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
262,EDWARD RIVER,2868219,NORMAL,"",,220,"FINLEY RD","DENILIQUIN",2710,"261/1035189",R1,595.5,M,01/07/2023,66300,14A(1),6A(1),01/07/2022,37200,14A(1),6A(1),01/07/2021,26500,14A(1),6A(1),01/07/2020,21500,14A(1),6A(1),01/07/2019,23200,14A(1),6A(1),
262,EDWARD RIVER,2868220,NORMAL,"",,174,"QUARRY ST","DENILIQUIN",2710,"262/1035189",R1,1132,M,01/07/2023,114000,14A(1),6A(1),01/07/2022,72300,14A(1),6A(1),01/07/2021,51500,14A(1),6A(1),01/07/2020,41800,14A(1),6A(1),01/07/2019,45000,14A(1),6A(1),
262,EDWARD RIVER,2882566,NORMAL,"",,,"BIRGANBIGIL RD PH COOLAGALI","BIRGANBIGIL",2710,"1/130697 46, 47, 48/756301",RU1,306.2,H,01/07/2023,1870000,14A(1),6A(3),01/07/2022,1640000,14A(1),6A(3),01/07/2021,1080000,14A(1),6A(3),01/07/2020,537000,14A(1),6A(3),01/07/2019,537000,14A(1),6A(3),
262,EDWARD RIVER,2882567,NORMAL,"",,131,"BIRGANBIGIL RD","WARRAGOON",2710,"161, 162, 163/135490 60/756269",RU1,252.68,H,01/07/2023,1560000,14A(1),6A(3),01/07/2022,1370000,14A(1),6A(3),01/07/2021,900000,14A(1),6A(3),01/07/2020,479000,14A(1),6A(3),01/07/2019,479000,14A(1),6A(3),
262,EDWARD RIVER,2886524,NORMAL,"",,338,"HARFLEUR ST","DENILIQUIN",2710,"51/1037532",R1,1122,M,01/07/2023,181000,14A(1),6A(1),01/07/2022,176000,14A(1),6A(1),01/07/2021,104000,14A(1),6A(1),01/07/2020,84700,14A(1),6A(1),01/07/2019,91300,14A(1),6A(1),
262,EDWARD RIVER,2886525,NORMAL,"",,6,"WATSON CT","DENILIQUIN",2710,"52/1037532",R1,693.8,M,01/07/2023,139000,14A(1),6A(1),01/07/2022,135000,14A(1),6A(1),01/07/2021,79700,14A(1),6A(1),01/07/2020,64400,14A(1),6A(1),01/07/2019,69400,14A(1),6A(1),
262,EDWARD RIVER,2866250,NORMAL,"PH CURRABUNGANUNG",,,"HARTWOOD RD","MAYRUNG",2710,"1, 2/1014445",RU1,16.55,H,01/07/2023,24600,14A(1),6A(1),01/07/2022,21600,14A(1),6A(1),01/07/2021,14200,14A(1),6A(1),01/07/2020,7120,14A(1),6A(1),01/07/2019,7120,14A(1),6A(1),
262,EDWARD RIVER,2872222,NORMAL,"",,133,"HATTWELL RD","DENILIQUIN",2710,"42/756310",RU1,105.6,H,01/07/2023,703000,14A(1),6A(3),01/07/2022,617000,14A(1),6A(3),01/07/2021,537000,14A(1),6A(3),01/07/2020,267000,14A(1),6A(3),01/07/2019,267000,14A(1),6A(3),
262,EDWARD RIVER,2873197,NORMAL,"",,1,"THOMAS CT","DENILIQUIN",2710,"532/1016654 1/1018540",R1,944.6,M,01/07/2023,124000,14A(1),6A(1),01/07/2022,121000,14A(1),6A(1),01/07/2021,71700,14A(1),6A(1),01/07/2020,57900,14A(1),6A(1),01/07/2019,62400,14A(1),6A(1),
262,EDWARD RIVER,2873177,NORMAL,"",,306,"RIVER ST","DENILIQUIN",2710,"3/570217",R1,2455,M,01/07/2023,502000,14A(1),6A(1),01/07/2022,487000,14A(1),6A(1),01/07/2021,292000,14A(1),6A(1),01/07/2020,266000,14A(1),6A(1),01/07/2019,283000,14A(1),6A(1),
262,EDWARD RIVER,2873178,NORMAL,"",,308,"RIVER ST","DENILIQUIN",2710,"4/570217",R1,1.253,H,01/07/2023,782000,14A(1),6A(1),01/07/2022,758000,14A(1),6A(1),01/07/2021,454000,14A(1),6A(1),01/07/2020,413000,14A(1),6A(1),01/07/2019,439000,14A(1),6A(1),
262,EDWARD RIVER,2880599,NORMAL,"",1,293,"VICTORIA ST","DENILIQUIN",2710,"181/1036232",R1,491.7,M,01/07/2023,76600,14A(1),6A(1),01/07/2022,48200,14A(1),6A(1),01/07/2021,34400,14A(1),6A(1),01/07/2020,27900,14A(1),6A(1),01/07/2019,30000,14A(1),6A(1),
262,EDWARD RIVER,2880600,NORMAL,"",2,293,"VICTORIA ST","DENILIQUIN",2710,"182/1036232",R1,519.8,M,01/07/2023,76600,14A(1),6A(1),01/07/2022,48200,14A(1),6A(1),01/07/2021,34400,14A(1),6A(1),01/07/2020,27900,14A(1),6A(1),01/07/2019,30000,14A(1),6A(1),
