DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
269,MURRAY RIVER,2850841,NORMAL,"",,1,"PELICAN PL","MOAMA",2731,"104/270064",R1,556,M,01/07/2023,204000,14A(1),14E,01/07/2022,163000,14A(1),14E,01/07/2021,133000,14A(1),14E,01/07/2020,109000,14A(1),6A(3),01/07/2019,109000,14A(1),6A(3),
269,MURRAY RIVER,2850842,NORMAL,"",,2,"PELICAN PL","MOAMA",2731,"103/270064",R1,431,M,01/07/2023,184000,14A(1),14E,01/07/2022,147000,14A(1),14E,01/07/2021,120000,14A(1),14E,01/07/2020,98000,14A(1),6A(3),01/07/2019,98000,14A(1),6A(3),
269,MURRAY RIVER,2850843,NORMAL,"",,3,"PELICAN PL","MOAMA",2731,"102/270064",R1,623,M,01/07/2023,216000,14A(1),14E,01/07/2022,172000,14A(1),14E,01/07/2021,140000,14A(1),14E,01/07/2020,115000,14A(1),6A(3),01/07/2019,115000,14A(1),6A(3),
269,MURRAY RIVER,2850844,NORMAL,"",,4,"PELICAN PL","MOAMA",2731,"101/270064",R1,435,M,01/07/2023,184000,14A(1),14E,01/07/2022,147000,14A(1),14E,01/07/2021,120000,14A(1),14E,01/07/2020,98000,14A(1),6A(3),01/07/2019,98000,14A(1),6A(3),
269,MURRAY RIVER,2850845,NORMAL,"",,5,"PELICAN PL","MOAMA",2731,"100/270064",R1,1306,M,01/07/2023,365000,14A(1),14E,01/07/2022,291000,14A(1),14E,01/07/2021,237000,14A(1),14E,01/07/2020,194000,14A(1),6A(3),01/07/2019,194000,14A(1),6A(3),
269,MURRAY RIVER,2818897,NORMAL,"PH  TAMAR",,,"GARDEN RESERVE RD","BUNNALOO",2731,"56/751157",RU1,48.56,H,01/07/2023,230000,14A(1),6A(3),01/07/2022,489000,14A(1),6A(3),01/07/2021,220000,14A(1),6A(3),01/07/2020,138000,14A(1),6A(3),01/07/2019,138000,14A(1),6A(3),
269,MURRAY RIVER,2861535,NORMAL,"",,4155,"MOULAMEIN RD","TULLAKOOL",2732,"7, 98/756513 120/820184 123/823019",RU1,413.1,H,01/07/2023,969000,14A(1),6A(3),01/07/2022,864000,14A(1),6A(3),01/07/2021,616000,14A(1),6A(3),01/07/2020,440000,14A(1),6A(3),01/07/2019,440000,14A(1),6A(3),
269,MURRAY RIVER,2826881,NORMAL,"",,,"PERRICOOTA ST","WOMBOOTA",2731,"6, 7/1/759106",RU5,4047,M,01/07/2023,37800,14A(1),6A(1),01/07/2022,32800,14A(1),6A(1),01/07/2021,8270,14A(1),6A(1),01/07/2020,8080,14A(1),6A(1),01/07/2019,8080,14A(1),6A(1),
269,MURRAY RIVER,2826882,NORMAL,"",,,"PERRICOOTA ST","WOMBOOTA",2731,"8, 9, 10/1/759106",RU5,6070,M,01/07/2023,59100,14A(1),6A(1),01/07/2022,51200,14A(1),6A(1),01/07/2021,12900,14A(1),6A(1),01/07/2020,12600,14A(1),6A(1),01/07/2019,12600,14A(1),6A(1),
269,MURRAY RIVER,2854794,NORMAL,"",,2066,"KYALITE RD","MOOLPA",2734,"66/725839 61/756520 68, 69/1007190 Licence 320867",RU1,274.3,H,01/07/2023,769000,14A(1),6A(3),01/07/2022,724000,14A(1),6A(3),01/07/2021,491000,14A(1),6A(3),01/07/2020,350000,14A(1),6A(3),01/07/2019,350000,14A(1),6A(3),
269,MURRAY RIVER,2857904,NORMAL,"PH TOOLEYBUC",,106,"LOCKHART RD","TOOLEYBUC",2736,"20/1033620",RU1,1,H,01/07/2023,30300,14A(1),6A(1),01/07/2022,30300,14A(1),6A(1),01/07/2021,26400,14A(1),6A(1),01/07/2020,26000,14A(1),6A(1),01/07/2019,26000,14A(1),6A(1),
269,MURRAY RIVER,2857905,NORMAL,"PH TOOLEYBUC",,108,"LOCKHART RD","TOOLEYBUC",2736,"21/1033620",RU1,10.79,H,01/07/2023,151000,14A(1),6A(3),01/07/2022,151000,14A(1),6A(3),01/07/2021,89200,14A(1),6A(3),01/07/2020,87600,14A(1),6A(3),01/07/2019,87600,14A(1),6A(3),
269,MURRAY RIVER,2832757,NORMAL,"",,107,"COX RD","KORALEIGH",2735,"1, 2/190734",RU1,6.03,H,01/07/2023,32300,14A(1),6A(3),01/07/2022,32300,14A(1),6A(3),01/07/2021,28100,14A(1),6A(3),01/07/2020,27600,14A(1),6A(3),01/07/2019,27600,14A(1),6A(3),
269,MURRAY RIVER,2832915,NORMAL,"",,32,"JAMIESON AVE","BARHAM",2732,"24/1027213",R5,1.486,H,01/07/2023,385000,14A(1),6A(1),01/07/2022,292000,14A(1),6A(1),01/07/2021,263000,14A(1),6A(1),01/07/2020,236000,14A(1),6A(1),01/07/2019,236000,14A(1),6A(1),
269,MURRAY RIVER,2841965,NORMAL,"",,1,"WINBI AVE","MOAMA",2731,"1/1031043",R2,2271,M,01/07/2023,500000,14A(1),6A(1),01/07/2022,479000,14A(1),6A(1),01/07/2021,313000,14A(1),6A(1),01/07/2020,279000,14A(1),6A(1),01/07/2019,235000,14A(1),6A(1),
269,MURRAY RIVER,2841966,NORMAL,"",,10,"WINBI AVE","MOAMA",2731,"10/1031043",R2,1710,M,01/07/2023,500000,14A(1),6A(1),01/07/2022,469000,14A(1),6A(1),01/07/2021,306000,14A(1),6A(1),01/07/2020,272000,14A(1),6A(1),01/07/2019,229000,14A(1),6A(1),
269,MURRAY RIVER,2841967,NORMAL,"",,11,"WINBI AVE","MOAMA",2731,"11/1031043",R2,1834,M,01/07/2023,500000,14A(1),6A(1),01/07/2022,479000,14A(1),6A(1),01/07/2021,313000,14A(1),6A(1),01/07/2020,279000,14A(1),6A(1),01/07/2019,235000,14A(1),6A(1),
269,MURRAY RIVER,2841968,NORMAL,"",,12,"WINBI AVE","MOAMA",2731,"12/1031043",R2,1725,M,01/07/2023,500000,14A(1),6A(1),01/07/2022,479000,14A(1),6A(1),01/07/2021,313000,14A(1),6A(1),01/07/2020,279000,14A(1),6A(1),01/07/2019,235000,14A(1),6A(1),
269,MURRAY RIVER,2841969,NORMAL,"",,13,"WINBI AVE","MOAMA",2731,"13/1031043",R2,1629,M,01/07/2023,500000,14A(1),6A(1),01/07/2022,479000,14A(1),6A(1),01/07/2021,313000,14A(1),6A(1),01/07/2020,279000,14A(1),6A(1),01/07/2019,235000,14A(1),6A(1),
269,MURRAY RIVER,2841970,NORMAL,"",,14,"WINBI AVE","MOAMA",2731,"14/1031043",R2,1683,M,01/07/2023,500000,14A(1),6A(1),01/07/2022,479000,14A(1),6A(1),01/07/2021,313000,14A(1),6A(1),01/07/2020,279000,14A(1),6A(1),01/07/2019,235000,14A(1),6A(1),
