DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
250,TENTERFIELD,2851082,NORMAL,"",,2203,"SILENT GROVE RD","SILENT GROVE",2372,"11/1009849",RU1,180.4,H,01/07/2023,157000,14A(1),6A(1),01/07/2022,157000,14A(1),6A(1),01/07/2021,104000,14A(1),6A(1),01/07/2020,73600,14A(1),6A(1),01/07/2019,73600,14A(1),6A(1),
250,TENTERFIELD,2851083,NORMAL,"",,,"SILENT GROVE RD","SILENT GROVE",2372,"18/1009849",RU1,129.5,H,01/07/2023,157000,14A(1),6A(1),01/07/2022,157000,14A(1),6A(1),01/07/2021,104000,14A(1),6A(1),01/07/2020,73600,14A(1),6A(1),01/07/2019,73600,14A(1),6A(1),
250,TENTERFIELD,2851084,NORMAL,"",,,"SILENT GROVE RD","SILENT GROVE",2372,"19/1009849",RU1,127.7,H,01/07/2023,157000,14A(1),6A(1),01/07/2022,157000,14A(1),6A(1),01/07/2021,104000,14A(1),6A(1),01/07/2020,73600,14A(1),6A(1),01/07/2019,73600,14A(1),6A(1),
250,TENTERFIELD,2851105,NORMAL,"",,12218,"MOUNT LINDESAY RD","KOREELAH",2476,"39/751065 Enclosure Permit 586033",RU1,202.393,H,01/07/2023,708000,14A(1),6A1/14I,01/07/2022,708000,14A(1),6A1/14I,01/07/2021,550000,14A(1),6A1/14I,01/07/2020,458000,14A(1),6A1/14I,01/07/2019,458000,14A(1),6A1/14I,
250,TENTERFIELD,2851106,NORMAL,"",,,"MOUNT LINDESAY RD","KOREELAH",2476,"50, 57/751065",RU1,56.049,H,01/07/2023,357000,14A(1),6A(1),01/07/2022,357000,14A(1),6A(1),01/07/2021,245000,14A(1),6A(1),01/07/2020,208000,14A(1),6A(1),01/07/2019,208000,14A(1),6A(1),
250,TENTERFIELD,2851109,NORMAL,"",,,"ACACIA PLATEAU RD","LEGUME",2476,"24/878876",RU1,20.4,H,01/07/2023,453000,14A(1),6A(2),01/07/2022,453000,14A(1),6A(2),01/07/2021,311000,14A(1),6A(2),01/07/2020,264000,14A(1),6A(2),01/07/2019,264000,14A(1),6A(2),
250,TENTERFIELD,2851139,NORMAL,"",,,"SUGARBAG RD E","TABULAM",2469,"147/864708",RU1,41.18,H,01/07/2023,173000,14A(1),6A(1),01/07/2022,173000,14A(1),6A(1),01/07/2021,105000,14A(1),6A(1),01/07/2020,73100,14A(1),6A(1),01/07/2019,73100,14A(1),6A(1),
250,TENTERFIELD,2851155,NORMAL,"LINWOOD",,,"","DEEPWATER",2371,"PT 2/1023516",RU1,88.19,H,01/07/2023,500000,14A(1),6A(1)/28,01/07/2022,500000,14A(1),6A(1)/28,01/07/2021,400000,14A(1),6A(1)/28,01/07/2020,290000,14A(1),6A(1)/28,01/07/2019,290000,14A(1),6A(1)/28,
250,TENTERFIELD,2851416,NORMAL,"",,459,"ROUSE ST","TENTERFIELD",2372,"5/4/57797",RU5,2.266,H,01/07/2023,239000,14A(1),6A(1),01/07/2022,239000,14A(1),6A(1),01/07/2021,165000,14A(1),6A(1),01/07/2020,145000,14A(1),6A(1),01/07/2019,140000,14A(1),6A(1),
250,TENTERFIELD,2851432,NORMAL,"",,59,"GEYERS RD","TENTERFIELD",2372,"59, 60/751490",RU1,32.678,H,01/07/2023,222000,14A(1),6A(1),01/07/2022,222000,14A(1),6A(1),01/07/2021,171000,14A(1),6A(1),01/07/2020,120000,14A(1),6A(1),01/07/2019,32800,14A(1),6A(1),
250,TENTERFIELD,2851477,NORMAL,"",,20,"BLUFF RIVER RD","SANDY FLAT",2372,"20, 21/751522",RU1,50.989,H,01/07/2023,225000,14A(1),6A(1),01/07/2022,225000,14A(1),6A(1),01/07/2021,149000,14A(1),6A(1),01/07/2020,105000,14A(1),6A(1),01/07/2019,105000,14A(1),6A(1),
250,TENTERFIELD,2870836,NORMAL,"BOLIVIA HALL",,129,"A M WHITE DR","BOLIVIA",2372,"1/965934",RU1,3453,M,01/07/2023,41900,14A(1),6A(2),01/07/2022,41900,14A(1),6A(2),01/07/2021,27500,14A(1),6A(2),01/07/2020,23100,14A(1),6A(2),01/07/2019,23100,14A(1),6A(2),
250,TENTERFIELD,2878746,NORMAL,"",,41,"SUNNYSIDE PLATFORM RD","TENTERFIELD",2372,"4/1014881",RU1,9.947,H,01/07/2023,227000,14A(1),6A(3),01/07/2022,227000,14A(1),6A(3),01/07/2021,152000,14A(1),6A(3),01/07/2020,140000,14A(1),6A(3),01/07/2019,135000,14A(1),6A(3),
250,TENTERFIELD,2878748,NORMAL,"",,27,"SUNNYSIDE PLATFORM RD","TENTERFIELD",2372,"5/1014881",RU1,10.08,H,01/07/2023,253000,14A(1),6A(3),01/07/2022,253000,14A(1),6A(3),01/07/2021,195000,14A(1),6A(3),01/07/2020,162000,14A(1),6A(3),01/07/2019,148000,14A(1),6A(3),
250,TENTERFIELD,2870909,NORMAL,"",,318,"TORRINGTON RD","TORRINGTON",2371,"318/751488",RU1,2024,M,01/07/2023,29000,14A(1),6A(1),01/07/2022,21200,14A(1),6A(1),01/07/2021,14600,14A(1),6A(1),01/07/2020,12100,14A(1),6A(1),01/07/2019,12100,14A(1),6A(1),
250,TENTERFIELD,2888461,NORMAL,"",,52,"COMMON RD","TENTERFIELD",2372,"4/1037886",RU1,59.27,H,01/07/2023,432000,14A(1),6A(1),01/07/2022,432000,14A(1),6A(1),01/07/2021,333000,14A(1),6A(1),01/07/2020,276000,14A(1),6A(1),01/07/2019,252000,14A(1),6A(1),
250,TENTERFIELD,2888462,NORMAL,"",,100,"COMMON RD","TENTERFIELD",2372,"5/1037886",RU1,2,H,01/07/2023,120000,14A(1),6A(1),01/07/2022,120000,14A(1),6A(1),01/07/2021,80700,14A(1),6A(1),01/07/2020,74100,14A(1),6A(1),01/07/2019,71200,14A(1),6A(1),
