DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
244,LACHLAN,2850768,NORMAL,"",,101,"LORNE ST","LAKE CARGELLIGO",2672,"10/17/758595 9/821592 Licence 547372",RU5,4000,M,01/07/2023,40600,14A(1),14I,01/07/2022,40600,14A(1),14I,01/07/2021,28500,14A(1),14I,01/07/2020,27200,14A(1),14I,01/07/2019,23700,14A(1),14I,
244,LACHLAN,2835121,NORMAL,"",,36-38,"WOOYEO ST","TULLIBIGEAL",2669,"51/1030162",RU5,2023,M,01/07/2023,6450,14A(1),6A(1),01/07/2022,6000,14A(1),6A(1),01/07/2021,1500,14A(1),6A(1),01/07/2020,1500,14A(1),6A(1),01/07/2019,1500,14A(1),6A(1),
244,LACHLAN,2835122,NORMAL,"",,32-34,"WOOYEO ST","TULLIBIGEAL",2669,"52/1030162",RU5,2023,M,01/07/2023,6450,14A(1),6A(1),01/07/2022,6000,14A(1),6A(1),01/07/2021,1500,14A(1),6A(1),01/07/2020,1500,14A(1),6A(1),01/07/2019,1500,14A(1),6A(1),
244,LACHLAN,2835129,NORMAL,"FISHERS",,583,"CARAWATHA RD","CONDOBOLIN",2877,"7, 12, 13, 24, 25/752118 10/1030247",RU1,2265.62,H,01/07/2023,3790000,14A(1),6A(1),01/07/2022,3790000,14A(1),6A(1),01/07/2021,2980000,14A(1),6A(1),01/07/2020,2710000,14A(1),6A(1),01/07/2019,2710000,14A(1),6A(1),
244,LACHLAN,2860371,NORMAL,"",,4761,"DANDALOO RD","ALBERT",2873,"1/256153 40/723776 27, 29/753985 Licence 333156",RU1,2053.9,H,01/07/2023,4370000,14A(1),14I,01/07/2022,3980000,14A(1),14I,01/07/2021,3250000,14A(1),14I,01/07/2020,2710000,14A(1),14I,01/07/2019,2340000,14A(1),14I,
244,LACHLAN,2835352,NORMAL,"",,2662,"CONDOBOLIN RD","FIFIELD",2875,"46/752111 21, 26/752112 Licence 321129",RU1,537.341,H,01/07/2023,1130000,14A(1),14I,01/07/2022,1090000,14A(1),14I,01/07/2021,793000,14A(1),14I,01/07/2020,747000,14A(1),14I,01/07/2019,747000,14A(1),14I,
244,LACHLAN,2891115,NORMAL,"",,15,"FEDERATION ST","ALBERT",2873,"1, 2/4/758012",RU5,2024,M,01/07/2023,1800,14A(1),6A(1),01/07/2022,1800,14A(1),6A(1),01/07/2021,1500,14A(1),6A(1),01/07/2020,1500,14A(1),6A(1),01/07/2019,1500,14A(1),6A(1),
244,LACHLAN,2870858,NORMAL,"",,14-18,"LORNE ST","LAKE CARGELLIGO",2672,"32/1027826",RU5,3017,M,01/07/2023,59200,14A(1),6A(1),01/07/2022,59200,14A(1),6A(1),01/07/2021,41600,14A(1),6A(1),01/07/2020,39700,14A(1),6A(1),01/07/2019,34600,14A(1),6A(1),
244,LACHLAN,2870859,NORMAL,"",,20,"LORNE ST","LAKE CARGELLIGO",2672,"31/1027826",RU5,1005,M,01/07/2023,30900,14A(1),6A(1),01/07/2022,30900,14A(1),6A(1),01/07/2021,21700,14A(1),6A(1),01/07/2020,20700,14A(1),6A(1),01/07/2019,18000,14A(1),6A(1),
244,LACHLAN,2878945,NORMAL,"",,23,"ORANGE ST","CONDOBOLIN",2877,"1/1036466",RU5,551,M,01/07/2023,6900,14A(1),6A(1),01/07/2022,5750,14A(1),6A(1),01/07/2021,4260,14A(1),6A(1),01/07/2020,3710,14A(1),6A(1),01/07/2019,2860,14A(1),6A(1),
