DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
537,WARRUMBUNGLE,1220811,NORMAL,"",,6-8,"HENDERSON ST","COOLAH",2843,"7/4/758276",R1,1770,M,01/07/2023,56400,14A(1),6A(1),01/07/2022,47000,14A(1),6A(1),01/07/2021,39200,14A(1),6A(1),01/07/2020,34100,14A(1),6A(1),01/07/2019,32500,14A(1),6A(1),
537,WARRUMBUNGLE,1220812,NORMAL,"",,2-4,"HENDERSON ST","COOLAH",2843,"6/4/758276",R1,1770,M,01/07/2023,64500,14A(1),6A(1),01/07/2022,53800,14A(1),6A(1),01/07/2021,44900,14A(1),6A(1),01/07/2020,39100,14A(1),6A(1),01/07/2019,37300,14A(1),6A(1),
537,WARRUMBUNGLE,1220813,NORMAL,"",1,7,"HENDERSON ST","COOLAH",2843,"4, 5/1/758276",R1,3541,M,01/07/2023,79200,14A(1),6A(1),01/07/2022,66000,14A(1),6A(1),01/07/2021,24100,14A(1),6A(1),01/07/2020,21000,14A(1),6A(1),01/07/2019,19100,14A(1),6A(1),
537,WARRUMBUNGLE,1220815,NORMAL,"",,13-19,"HENDERSON ST","COOLAH",2843,"1, 2/1/758276",R1,3541,M,01/07/2023,79200,14A(1),6A(1),01/07/2022,66000,14A(1),6A(1),01/07/2021,55000,14A(1),6A(1),01/07/2020,47900,14A(1),6A(1),01/07/2019,43600,14A(1),6A(1),
537,WARRUMBUNGLE,1220816,NORMAL,"",,21-39,"HENDERSON ST","COOLAH",2843,"1, 2, 3, 4, 5/2/758276",R1,8878,M,01/07/2023,82900,14A(1),6A(1),01/07/2022,69100,14A(1),6A(1),01/07/2021,57600,14A(1),6A(1),01/07/2020,50100,14A(1),6A(1),01/07/2019,34200,14A(1),6A(1),
537,WARRUMBUNGLE,1220817,NORMAL,"",,35,"HOSPITAL ST","COOLAH",2843,"10/23047",R1,1126,M,01/07/2023,44200,14A(1),6A(1),01/07/2022,36900,14A(1),6A(1),01/07/2021,30800,14A(1),6A(1),01/07/2020,26800,14A(1),6A(1),01/07/2019,25600,14A(1),6A(1),
537,WARRUMBUNGLE,1220818,NORMAL,"",,33,"HOSPITAL ST","COOLAH",2843,"9/23047",R1,1113,M,01/07/2023,44200,14A(1),6A(1),01/07/2022,36900,14A(1),6A(1),01/07/2021,30800,14A(1),6A(1),01/07/2020,26800,14A(1),6A(1),01/07/2019,25600,14A(1),6A(1),
537,WARRUMBUNGLE,1220819,NORMAL,"",,31,"HOSPITAL ST","COOLAH",2843,"8/23047",R1,1113,M,01/07/2023,44200,14A(1),6A(1),01/07/2022,36900,14A(1),6A(1),01/07/2021,30800,14A(1),6A(1),01/07/2020,26800,14A(1),6A(1),01/07/2019,25600,14A(1),6A(1),
537,WARRUMBUNGLE,1220821,NORMAL,"",,23-25,"HOSPITAL ST","COOLAH",2843,"4, 5/23047",R1,2257,M,01/07/2023,82000,14A(1),6A(1),01/07/2022,68400,14A(1),6A(1),01/07/2021,57000,14A(1),6A(1),01/07/2020,49600,14A(1),6A(1),01/07/2019,47300,14A(1),6A(1),
537,WARRUMBUNGLE,1220822,NORMAL,"",,21,"HOSPITAL ST","COOLAH",2843,"3/23047",R1,1132,M,01/07/2023,44200,14A(1),6A(1),01/07/2022,36900,14A(1),6A(1),01/07/2021,30800,14A(1),6A(1),01/07/2020,26800,14A(1),6A(1),01/07/2019,25600,14A(1),6A(1),
537,WARRUMBUNGLE,1220823,NORMAL,"",,17-19,"HOSPITAL ST","COOLAH",2843,"1, 2/23047",R1,2265,M,01/07/2023,96800,14A(1),6A(1),01/07/2022,80700,14A(1),6A(1),01/07/2021,67300,14A(1),6A(1),01/07/2020,58600,14A(1),6A(1),01/07/2019,55900,14A(1),6A(1),
537,WARRUMBUNGLE,1220824,NORMAL,"",,2,"HOSPITAL ST","COOLAH",2843,"11/37988 Housing PRN 141844",R1,1170,M,01/07/2023,52900,14A(1),6A(1),01/07/2022,44100,14A(1),6A(1),01/07/2021,36800,14A(1),6A(1),01/07/2020,32000,14A(1),6A(1),01/07/2019,30500,14A(1),6A(1),
537,WARRUMBUNGLE,1220825,NORMAL,"",,4,"HOSPITAL ST","COOLAH",2843,"12/37988",R1,1170,M,01/07/2023,52900,14A(1),6A(1),01/07/2022,44100,14A(1),6A(1),01/07/2021,36800,14A(1),6A(1),01/07/2020,32000,14A(1),6A(1),01/07/2019,30500,14A(1),6A(1),
537,WARRUMBUNGLE,1220826,NORMAL,"",,6,"HOSPITAL ST","COOLAH",2843,"13/37988",R1,1170,M,01/07/2023,52900,14A(1),6A(1),01/07/2022,44100,14A(1),6A(1),01/07/2021,36800,14A(1),6A(1),01/07/2020,32000,14A(1),6A(1),01/07/2019,30500,14A(1),6A(1),
537,WARRUMBUNGLE,1220827,NORMAL,"",,8,"HOSPITAL ST","COOLAH",2843,"14/37988",R1,1170,M,01/07/2023,52900,14A(1),6A(1),01/07/2022,44100,14A(1),6A(1),01/07/2021,36800,14A(1),6A(1),01/07/2020,32000,14A(1),6A(1),01/07/2019,30500,14A(1),6A(1),
537,WARRUMBUNGLE,1220828,NORMAL,"",,10,"HOSPITAL ST","COOLAH",2843,"15/37988",R1,1170,M,01/07/2023,52900,14A(1),6A(1),01/07/2022,44100,14A(1),6A(1),01/07/2021,36800,14A(1),6A(1),01/07/2020,32000,14A(1),6A(1),01/07/2019,30500,14A(1),6A(1),
537,WARRUMBUNGLE,1220829,NORMAL,"",,1,"IRWIN ST","COOLAH",2843,"2/538904",R1,1391,M,01/07/2023,76400,14A(1),6A(1),01/07/2022,63700,14A(1),6A(1),01/07/2021,53100,14A(1),6A(1),01/07/2020,46200,14A(1),6A(1),01/07/2019,44000,14A(1),6A(1),
537,WARRUMBUNGLE,1220830,NORMAL,"",,3,"IRWIN ST","COOLAH",2843,"1/538904",R1,1543,M,01/07/2023,76400,14A(1),6A(1),01/07/2022,63700,14A(1),6A(1),01/07/2021,53100,14A(1),6A(1),01/07/2020,46200,14A(1),6A(1),01/07/2019,44000,14A(1),6A(1),
537,WARRUMBUNGLE,1220831,NORMAL,"",,5,"IRWIN ST","COOLAH",2843,"16/37686",R1,976,M,01/07/2023,51100,14A(1),6A(1),01/07/2022,42600,14A(1),6A(1),01/07/2021,35500,14A(1),6A(1),01/07/2020,30900,14A(1),6A(1),01/07/2019,29500,14A(1),6A(1),
537,WARRUMBUNGLE,1220832,NORMAL,"",,7,"IRWIN ST","COOLAH",2843,"17/535042",R1,976,M,01/07/2023,51100,14A(1),6A(1),01/07/2022,42600,14A(1),6A(1),01/07/2021,35500,14A(1),6A(1),01/07/2020,30900,14A(1),6A(1),01/07/2019,29500,14A(1),6A(1),
537,WARRUMBUNGLE,1220833,NORMAL,"",,9,"IRWIN ST","COOLAH",2843,"18/37686",R1,976.6,M,01/07/2023,51100,14A(1),6A(1),01/07/2022,42600,14A(1),6A(1),01/07/2021,35500,14A(1),6A(1),01/07/2020,30900,14A(1),6A(1),01/07/2019,29500,14A(1),6A(1),
537,WARRUMBUNGLE,1220834,NORMAL,"",,15,"IRWIN ST","COOLAH",2843,"23/23047",R1,1239,M,01/07/2023,64900,14A(1),6A(1),01/07/2022,54100,14A(1),6A(1),01/07/2021,45100,14A(1),6A(1),01/07/2020,39300,14A(1),6A(1),01/07/2019,37500,14A(1),6A(1),
537,WARRUMBUNGLE,1220835,NORMAL,"",,17,"IRWIN ST","COOLAH",2843,"24/23047",R1,1239,M,01/07/2023,64900,14A(1),6A(1),01/07/2022,54100,14A(1),6A(1),01/07/2021,45100,14A(1),6A(1),01/07/2020,39300,14A(1),6A(1),01/07/2019,37500,14A(1),6A(1),
