DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
230,BALRANALD,2823572,NORMAL,"",,55,"PERRY ST","EUSTON",2737,"2/883199",RU5,744,M,01/07/2023,55000,14A(1),14C,01/07/2022,55000,14A(1),14C,01/07/2021,50000,14A(1),14C,01/07/2020,50000,14A(1),14C,01/07/2019,50000,14A(1),14C,
230,BALRANALD,2851761,NORMAL,"",,45,"MURRAY TCE","EUSTON",2737,"60/822092",RU5,2307,M,01/07/2023,110000,14A(1),14C,01/07/2022,110000,14A(1),14C,01/07/2021,100000,14A(1),14C,01/07/2020,100000,14A(1),14C,01/07/2019,100000,14A(1),14C,
230,BALRANALD,2864686,NORMAL,"",,,"CO MANARA WLL'S","BALRANALD",2715,"3702/766084 Western Land Lease 10189",RU1,1336,H,01/07/2023,423000,14A(1),14C,01/07/2022,423000,14A(1),14C,01/07/2021,333000,14A(1),14C,01/07/2020,222000,14A(1),14C,01/07/2019,222000,14A(1),14C,
230,BALRANALD,2864687,NORMAL,"KILLARNEY",,245,"CLARE FRESHWATER RD","CLARE",2711,"174/760749 5675/768575 Western Land Lease 1735 Western Land Lease 1745",RU1,10023,H,01/07/2023,2838000,14A(1),14C,01/07/2022,2838000,14A(1),14C,01/07/2021,2230000,14A(1),14C,01/07/2020,1493000,14A(1),14C,01/07/2019,1493000,14A(1),14C,
230,BALRANALD,2875635,NORMAL,"",,152,"BOYNTON ST","BALRANALD",2715,"1/1035670",RU5,1064,M,01/07/2023,45000,14A(1),14C,01/07/2022,45000,14A(1),14C,01/07/2021,40000,14A(1),14C,01/07/2020,40000,14A(1),14C,01/07/2019,40000,14A(1),14C,
230,BALRANALD,2875636,NORMAL,"",,153,"BALLANDELLA ST","BALRANALD",2715,"2/1035670",RU5,916,M,01/07/2023,50000,14A(1),14C,01/07/2022,50000,14A(1),14C,01/07/2021,44000,14A(1),14C,01/07/2020,44000,14A(1),14C,01/07/2019,44000,14A(1),14C,
230,BALRANALD,2868007,NORMAL,"",,14,"BERTRAM RD","EUSTON",2737,"2/1032584",RU4,2145,M,01/07/2023,60000,14A(1),14C,01/07/2022,60000,14A(1),14C,01/07/2021,48000,14A(1),14C,01/07/2020,30000,14A(1),14C,01/07/2019,30000,14A(1),14C,
230,BALRANALD,2871881,NORMAL,"THE PEPPERS",,,"HATFIELD PENARIE RD","BALRANALD",2715,"1/751177 5309/768224 5310/768225 Western Land Lease PT 592",RU1,4160.29,H,01/07/2023,1688000,14A(1),14C,01/07/2022,1688000,14A(1),14C,01/07/2021,1330000,14A(1),14C,01/07/2020,888000,14A(1),14C,01/07/2019,888000,14A(1),14C,
230,BALRANALD,2871882,NORMAL,"",,,"HATFIELD PENARIE RD","BALRANALD",2715,"23/751177 Western Land Lease PT 592",RU1,48.56,H,01/07/2023,36900,14A(1),14C,01/07/2022,36900,14A(1),14C,01/07/2021,29100,14A(1),14C,01/07/2020,19400,14A(1),14C,01/07/2019,19400,14A(1),14C,
230,BALRANALD,2929399,NORMAL,"",,48,"TAYLOR RD","EUSTON",2737,"1/1043988",RU4,1702,M,01/07/2023,50000,14A(1),14C,01/07/2022,50000,14A(1),14C,01/07/2021,40000,14A(1),14C,01/07/2020,25000,14A(1),14C,01/07/2019,25000,14A(1),14C,
