DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
274,SNOWY VALLEYS,2975356,NORMAL,"",,1687,"SNOWY MOUNTAINS HWY","ADELONG",2729,"1/1049893",RU1,2.788,H,01/07/2023,264000,14A(1),6A(1),01/07/2022,189000,14A(1),6A(1),01/07/2021,135000,14A(1),6A(1),01/07/2020,111000,14A(1),6A(1),01/07/2019,111000,14A(1),6A(1),
274,SNOWY VALLEYS,2975357,NORMAL,"",,,"SNOWY MOUNTAINS HWY","ADELONG",2729,"2/1049893",RU1,25.62,H,01/07/2023,330000,14A(1),6A(1),01/07/2022,236000,14A(1),6A(1),01/07/2021,169000,14A(1),6A(1),01/07/2020,154000,14A(1),6A(1),01/07/2019,154000,14A(1),6A(1),
274,SNOWY VALLEYS,3017017,NORMAL,"",,79A,"RUSSELL ST","TUMUT",2720,"20/1057043",R3,325,M,01/07/2023,60000,14A(1),6A(1),01/07/2022,60000,14A(1),6A(1),01/07/2021,50000,14A(1),6A(1),01/07/2020,50000,14A(1),6A(1),01/07/2019,50000,14A(1),6A(1),
274,SNOWY VALLEYS,3017018,NORMAL,"",,79,"RUSSELL ST","TUMUT",2720,"21/1057043",R3,1013,M,01/07/2023,90000,14A(1),6A(1),01/07/2022,90000,14A(1),6A(1),01/07/2021,75000,14A(1),6A(1),01/07/2020,75000,14A(1),6A(1),01/07/2019,75000,14A(1),6A(1),
274,SNOWY VALLEYS,2844410,NORMAL,"",,,"WEST GILMORE RD","GILMORE",2720,"20/1029391 WS 040063",RU1,37.46,H,01/07/2023,663000,14A(1),6A(3),01/07/2022,474000,14A(1),6A(3),01/07/2021,339000,14A(1),6A(3),01/07/2020,323000,14A(1),6A(3),01/07/2019,323000,14A(1),6A(3),
274,SNOWY VALLEYS,2844411,NORMAL,"",,654,"WEST GILMORE RD","GILMORE",2720,"21/1029391",RU1,4.048,H,01/07/2023,291000,14A(1),6A(1),01/07/2022,208000,14A(1),6A(1),01/07/2021,149000,14A(1),6A(1),01/07/2020,142000,14A(1),6A(1),01/07/2019,142000,14A(1),6A(1),
274,SNOWY VALLEYS,2860153,NORMAL,"",,875,"BATLOW RD","COURABYRA",2653,"13/113668 1/113697 2/624001 174/755874",C3,148.52,H,01/07/2023,513000,14A(1),6A(1),01/07/2022,513000,14A(1),6A(1),01/07/2021,321000,14A(1),6A(1),01/07/2020,256000,14A(1),6A(1),01/07/2019,321000,14A(1),6A(1),
274,SNOWY VALLEYS,2860155,NORMAL,"",,1020,"COURABYRA RD","COURABYRA",2653,"1/113698 64, 184/757223",RU1,28.02,H,01/07/2023,226000,14A(1),6A(1),01/07/2022,226000,14A(1),6A(1),01/07/2021,226000,14A(1),6A(1),01/07/2020,136000,14A(1),6A(1),01/07/2019,171000,14A(1),6A(1),
274,SNOWY VALLEYS,2818866,NORMAL,"",,15A,"CAPPER ST","TUMUT",2720,"22/1025189",R2,1606,M,01/07/2023,151000,14A(1),6A(1),01/07/2022,151000,14A(1),6A(1),01/07/2021,101000,14A(1),6A(1),01/07/2020,101000,14A(1),6A(1),01/07/2019,101000,14A(1),6A(1),
274,SNOWY VALLEYS,2818869,NORMAL,"",,15,"CAPPER ST","TUMUT",2720,"21/1025189",R2,938.9,M,01/07/2023,144000,14A(1),6A(1),01/07/2022,144000,14A(1),6A(1),01/07/2021,96000,14A(1),6A(1),01/07/2020,96000,14A(1),6A(1),01/07/2019,96000,14A(1),6A(1),
