DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
300,GWYDIR,3594475,NORMAL,"WYDIDYA",,916,"CROPPA CREEK RD","CROPPA CREEK",2411,"1, 2/131059 1, 2, 3/131071 4, 5, 6/131073 PT 1, PT 2, PT 3/430359 1, 2, 3, 4, 5, 6, 7, 8/456545 35, 105/751101 2, 5, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 52, 56, 64, 66/751116 2, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 30, 31, 33, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 53, 54, 62/751135 2, 69/751139 Licence 195001 Licence 195002",RU1,5935.57,H,01/07/2023,47200000,14A(1),6A(3)/14I,01/07/2022,45400000,14A(6),6A(3)/14I,01/07/2021,36300000,14A(6),6A(3)/14I,01/07/2020,31500000,14A(1),6A(3)/14I,01/07/2019,26100000,14A(6),6A(3)/14I,
300,GWYDIR,2840742,NORMAL,"HOLLYMOUNT",,1923,"ALLAN CUNNINGHAM RD","WARIALDA RAIL",2402,"79/257126 10, 72/751102",RU1,20.53,H,01/07/2023,111000,14A(1),6A(1),01/07/2022,92500,14A(1),6A(1),01/07/2021,71200,14A(1),6A(1),01/07/2020,66000,14A(1),6A(1),01/07/2019,66000,14A(1),6A(1),
300,GWYDIR,2863149,NORMAL,"HATTERS",,1297,"CUMBLE RD","WARIALDA RAIL",2402,"2/594512",RU1,154.8,H,01/07/2023,427000,14A(1),6A(1),01/07/2022,411000,14A(1),6A(1),01/07/2021,286000,14A(1),6A(1),01/07/2020,288000,14A(1),6A(1),01/07/2019,252000,14A(1),6A(1),
300,GWYDIR,2863150,NORMAL,"KIERAN",,1298,"GINEROI RD","GINEROI",2404,"66, 74/751102",RU1,610.9,H,01/07/2023,1800000,14A(1),6A(1),01/07/2022,1740000,14A(1),6A(1),01/07/2021,1210000,14A(1),6A(1),01/07/2020,1210000,14A(1),6A(1),01/07/2019,1060000,14A(1),6A(1),
300,GWYDIR,2841129,NORMAL,"",,28,"WARIALDA ST","GRAVESEND",2401,"B/338961 9, 10/6/758471",RU5,3162.7,M,01/07/2023,6570,14A(1),6A(1),01/07/2022,6570,14A(1),6A(1),01/07/2021,6060,14A(1),6A(1),01/07/2020,6000,14A(1),6A(1),01/07/2019,6000,14A(1),6A(1),
300,GWYDIR,2860953,NORMAL,"",,22,"WHITE ST","BINGARA",2404,"3/1010487",RU5,2.827,H,01/07/2023,98700,14A(1),6A(1),01/07/2022,94000,14A(1),6A(1),01/07/2021,84000,14A(1),6A(1),01/07/2020,80000,14A(1),6A(1),01/07/2019,80000,14A(1),6A(1),
300,GWYDIR,2882478,NORMAL,"",,,"WEARNES RD","BUNDARRA",2359,"1/789782 Enclosure Permit 319900",RU1,2.021,H,01/07/2023,14900,14A(1),6A(2)/14I,01/07/2022,13900,14A(1),6A(2),01/07/2021,13400,14A(2),6A(2)/14I,01/07/2020,10200,14A(1),6A(1),01/07/2019,10200,14A(2),6A(2)/14I,
300,GWYDIR,2879424,NORMAL,"CH'ANG",,212,"YAMMACOONA ESTATE RD","DELUNGRA",2403,"3/263715",RU1,61.84,H,01/07/2023,64600,14A(1),6A(1),01/07/2022,53900,14A(1),6A(1),01/07/2021,41500,14A(1),6A(1),01/07/2020,38500,14A(1),6A(1),01/07/2019,38500,14A(1),6A(1),
300,GWYDIR,2879425,NORMAL,"KOLOONA LODGE",,164,"YAMMACOONA ESTATE RD","DELUNGRA",2403,"4/263715",RU1,61.16,H,01/07/2023,111000,14A(1),6A(1),01/07/2022,92500,14A(1),6A(1),01/07/2021,71200,14A(1),6A(1),01/07/2020,66000,14A(1),6A(1),01/07/2019,66000,14A(1),6A(1),
300,GWYDIR,2879968,NORMAL,"",,40-42,"HOPE ST","WARIALDA",2402,"1, 2/558854",RU5,765.1,M,01/07/2023,31600,14A(1),6A(1),01/07/2022,30100,14A(1),6A(1),01/07/2021,27400,14A(1),6A(1),01/07/2020,27400,14A(1),6A(1),01/07/2019,27400,14A(1),6A(1),
