DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
239,BOURKE,2850698,NORMAL,"",,2,"BOKIRA ST","NORTH BOURKE",2840,"27/831497",RU5,188.3,M,01/07/2023,1350,14A(1),14C,01/07/2022,1350,14A(1),14C,01/07/2021,1200,14A(1),14C,01/07/2020,1000,14A(1),14C,01/07/2019,900,14A(1),14C,
239,BOURKE,2860088,NORMAL,"MT OXLEY TOWER",,,"TARCOON RD","BOURKE",2840,"13/786330",RU1,4058,M,01/07/2023,1540,14A(1),14C,01/07/2022,1400,14A(1),14C,01/07/2021,1400,14A(1),14C,01/07/2020,1400,14A(1),14C,01/07/2019,1400,14A(1),14C,
239,BOURKE,2851290,NORMAL,"",,158,"ANSON ST","BOURKE",2840,"7/98/758144",R1,917,M,01/07/2023,18000,14A(1),14C,01/07/2022,18000,14A(1),14C,01/07/2021,18000,14A(1),14C,01/07/2020,18000,14A(1),14C,01/07/2019,18000,14A(1),14C,
239,BOURKE,2860846,NORMAL,"MAYS BEND RESERVE",,,"","BOURKE",2840,"1, 3, 4, 5, 9/753546 7312, 7313, 7314, 7315, 7316, PT 7319/1182264 Licence 316627",RU1,1047.7,H,01/07/2023,460000,14A(1),14C,01/07/2022,418000,14A(1),14C,01/07/2021,342000,14A(1),14C,01/07/2020,289000,14A(1),14C,01/07/2019,263000,14A(1),14C,
239,BOURKE,2841667,NORMAL,"",,68A,"SID COLEMAN DR","NORTH BOURKE",2840,"61/1027306",E4,7343,M,01/07/2023,27200,14A(1),14C,01/07/2022,27200,14A(1),14C,01/07/2021,21800,14A(1),14C,01/07/2020,21800,14A(1),14C,01/07/2019,21800,14A(1),14C,
239,BOURKE,2841668,NORMAL,"",,68B,"SID COLEMAN DR","NORTH BOURKE",2840,"62/1027306",SP2,7925,M,01/07/2023,27500,14A(1),14C,01/07/2022,27500,14A(1),14C,01/07/2021,22000,14A(1),14C,01/07/2020,22000,14A(1),14C,01/07/2019,22000,14A(1),14C,
239,BOURKE,2841669,NORMAL,"",,68C,"SID COLEMAN DR","NORTH BOURKE",2840,"63/1027306",E4,4165,M,01/07/2023,24500,14A(1),14C,01/07/2022,24500,14A(1),14C,01/07/2021,19600,14A(1),14C,01/07/2020,19600,14A(1),14C,01/07/2019,19600,14A(1),14C,
239,BOURKE,2880468,NORMAL,"",,19-21,"RICHARD ST","BOURKE",2840,"1, 14/2225 1, 2/350732",E1,2909.28,M,01/07/2023,75000,14A(1),14C,01/07/2022,75000,14A(1),14C,01/07/2021,58500,14A(1),14C,01/07/2020,58500,14A(1),14C,01/07/2019,58500,14A(1),14C,
239,BOURKE,2884171,NORMAL,"THE ANGLE STATION",,724,"BOURKE-WILCANNIA RD","BOURKE",2840,"6927/1032628",RU1,486.1,H,01/07/2023,214000,14A(1),14C,01/07/2022,194000,14A(1),14C,01/07/2021,138000,14A(1),14C,01/07/2020,116000,14A(1),14C,01/07/2019,106000,14A(1),14C,
239,BOURKE,2884188,NORMAL,"",,2,"WARREGO ST","ENNGONIA",2840,"6/2/758389",RU1,2023.5,M,01/07/2023,1000,14A(1),14C,01/07/2022,500,14A(1),14C,01/07/2021,500,14A(1),14C,01/07/2020,500,14A(1),14C,01/07/2019,500,14A(1),14C,
239,BOURKE,2884190,NORMAL,"",,4,"WARREGO ST","ENNGONIA",2840,"7, 8/2/758389",RU1,4047,M,01/07/2023,1300,14A(1),14C,01/07/2022,650,14A(1),14C,01/07/2021,650,14A(1),14C,01/07/2020,650,14A(1),14C,01/07/2019,650,14A(1),14C,
239,BOURKE,2884191,NORMAL,"",,8,"WARREGO ST","ENNGONIA",2840,"9/2/758389",RU1,2023.5,M,01/07/2023,1000,14A(1),14C,01/07/2022,500,14A(1),14C,01/07/2021,500,14A(1),14C,01/07/2020,500,14A(1),14C,01/07/2019,500,14A(1),14C,
239,BOURKE,2922380,NORMAL,"",,83,"O'GRADY ST","WANAARING",2840,"2, 3, 4, 5, 6, 7/4/2078",RU5,6076.8,M,01/07/2023,6000,14A(1),14C,01/07/2022,3000,14A(1),14C,01/07/2021,3000,14A(1),14C,01/07/2020,3000,14A(1),14C,01/07/2019,3000,14A(1),14C,
239,BOURKE,2936939,NORMAL,"",,,"MITCHELL HWY","BOURKE",2840,"2662/764705 Western Land Lease 14378",RU1,1400,H,01/07/2023,321000,14A(1),14C,01/07/2022,321000,14A(1),14C,01/07/2021,280000,14A(1),14C,01/07/2020,280000,14A(1),14C,01/07/2019,280000,14A(1),14C,
239,BOURKE,2926979,NORMAL,"",,6,"CULGOA ST","NORTH BOURKE",2840,"1/23/758781",R5,8094,M,01/07/2023,150000,14A(1),14C,01/07/2022,102000,14A(1),14C,01/07/2021,95000,14A(1),14C,01/07/2020,95000,14A(1),14C,01/07/2019,87000,14A(1),14C,
