DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
052,CARRATHOOL,2868617,NORMAL,"",,13,"COWPER ST","HILLSTON",2675,"18/17/758521",RU5,1012,M,01/07/2023,24400,14A(1),6A(1),01/07/2022,24400,14A(1),6A(1),01/07/2021,23300,14A(1),6A(1),01/07/2020,22200,14A(1),6A(1),01/07/2019,22200,14A(1),6A(1),
052,CARRATHOOL,2868618,NORMAL,"",,15-17,"COWPER ST","HILLSTON",2675,"19, 20/17/758521",RU5,2024,M,01/07/2023,42500,14A(1),6A(1),01/07/2022,42500,14A(1),6A(1),01/07/2021,40500,14A(1),6A(1),01/07/2020,38600,14A(1),6A(1),01/07/2019,38600,14A(1),6A(1),
052,CARRATHOOL,2832243,NORMAL,"",,27-33,"DEVON ST","MERRIWAGGA",2652,"1, 2, 3, 4/1/758673",RU5,4553,M,01/07/2023,12400,14A(1),6A(1),01/07/2022,10400,14A(1),6A(1),01/07/2021,6960,14A(1),6A(1),01/07/2020,6960,14A(1),6A(1),01/07/2019,6960,14A(1),6A(1),
052,CARRATHOOL,2888537,NORMAL,"",,,"BUNDA RD","MERRIWAGGA",2652,"23, 42/755165 31, 32/755171 Enclosure Permit 37474",RU1,1076.1,H,01/07/2023,3800000,14A(1),14I,01/07/2022,3340000,14A(1),14I,01/07/2021,2230000,14A(1),14I,01/07/2020,1940000,14A(1),14I,01/07/2019,1620000,14A(1),14I,
052,CARRATHOOL,2888811,NORMAL,"",,39,"GRATTAN ST","HILLSTON",2675,"17/26/257",RU5,1012,M,01/07/2023,27400,14A(1),6A(1),01/07/2022,27400,14A(1),6A(1),01/07/2021,23900,14A(1),6A(1),01/07/2020,22800,14A(1),6A(1),01/07/2019,22800,14A(1),6A(1),
052,CARRATHOOL,2888812,NORMAL,"",,68,"MOLESWORTH ST","HILLSTON",2675,"18/26/257",RU5,1012,M,01/07/2023,28100,14A(1),6A(1),01/07/2022,28100,14A(1),6A(1),01/07/2021,24500,14A(1),6A(1),01/07/2020,23400,14A(1),6A(1),01/07/2019,23400,14A(1),6A(1),
052,CARRATHOOL,2888813,NORMAL,"",,66,"MOLESWORTH ST","HILLSTON",2675,"20/26/257",RU5,1012,M,01/07/2023,28100,14A(1),6A(1),01/07/2022,28100,14A(1),6A(1),01/07/2021,24500,14A(1),6A(1),01/07/2020,23400,14A(1),6A(1),01/07/2019,23400,14A(1),6A(1),
052,CARRATHOOL,2868601,NORMAL,"",,15,"NAPIER ST","GOOLGOWI",2652,"15/8/758461",RU5,1214,M,01/07/2023,24200,14A(1),6A(1),01/07/2022,14700,14A(1),6A(1),01/07/2021,10200,14A(1),6A(1),01/07/2020,8500,14A(1),6A(1),01/07/2019,8500,14A(1),6A(1),
052,CARRATHOOL,2868602,NORMAL,"",,13,"NAPIER ST","GOOLGOWI",2652,"16/8/758461",RU5,1214,M,01/07/2023,24200,14A(1),6A(1),01/07/2022,14700,14A(1),6A(1),01/07/2021,10200,14A(1),6A(1),01/07/2020,8500,14A(1),6A(1),01/07/2019,8500,14A(1),6A(1),
052,CARRATHOOL,2868630,NORMAL,"",,38-40,"HENRY ST","HILLSTON",2675,"2, 4/34/257 1, 2, 3, 4/35/257",RU1,6073,M,01/07/2023,42100,14A(1),6A(1),01/07/2022,42100,14A(1),6A(1),01/07/2021,31200,14A(1),6A(1),01/07/2020,31200,14A(1),6A(1),01/07/2019,31200,14A(1),6A(1),
