DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,PROPERTY NAME,UNIT NUMBER,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5,
254,WARREN,2840998,NORMAL,"",,,"DUBBO ST","WARREN",2824,"1/1030765",R5,3.409,H,01/07/2023,180000,14A(1),6A(1),01/07/2022,172000,14A(1),6A(1),01/07/2021,164000,14A(1),6A(1),01/07/2020,137000,14A(1),6A(1),01/07/2019,138000,14A(1),6A(1),
254,WARREN,2840999,NORMAL,"",,3563,"ELLENGERAH RD","WARREN",2824,"2/1030765",R5,3.391,H,01/07/2023,180000,14A(1),6A(1),01/07/2022,172000,14A(1),6A(1),01/07/2021,164000,14A(1),6A(1),01/07/2020,137000,14A(1),6A(1),01/07/2019,138000,14A(1),6A(1),
254,WARREN,2841000,NORMAL,"",,,"","WARREN",2824,"3/1030765",R5,3.612,H,01/07/2023,180000,14A(1),6A(1),01/07/2022,172000,14A(1),6A(1),01/07/2021,164000,14A(1),6A(1),01/07/2020,137000,14A(1),6A(1),01/07/2019,138000,14A(1),6A(1),
254,WARREN,2841001,NORMAL,"KENTUCKY ESTATE",,3539,"ELLENGERAH RD","WARREN",2824,"4/1030765",R5,3.814,H,01/07/2023,180000,14A(1),6A(1),01/07/2022,172000,14A(1),6A(1),01/07/2021,164000,14A(1),6A(1),01/07/2020,137000,14A(1),6A(1),01/07/2019,138000,14A(1),6A(1),
254,WARREN,2841002,NORMAL,"EULO GLEN",,,"GUNNEGALDRA RD","WARREN",2824,"5/1030765",R5,7.093,H,01/07/2023,204000,14A(1),6A(3),01/07/2022,195000,14A(1),6A(3),01/07/2021,186000,14A(1),6A(3),01/07/2020,155000,14A(1),6A(3),01/07/2019,141000,14A(1),6A(3),
254,WARREN,2826868,NORMAL,"",,4,"BUNDEMAR ST","COLLIE",2827,"6, 7, 8, 9, 10, 16, 17/5/758264",RU5,7084,M,01/07/2023,20300,14A(1),6A(1),01/07/2022,14500,14A(1),6A(1),01/07/2021,13200,14A(1),6A(1),01/07/2020,13200,14A(1),6A(1),01/07/2019,13200,14A(1),6A(1),
254,WARREN,2845407,NORMAL,"",,,"WONBOBBIE RD","TENANDRA",2824,"2/1026673",RU1,20.83,H,01/07/2023,77900,14A(1),6A(1),01/07/2022,67800,14A(1),6A(1),01/07/2021,61700,14A(1),6A(1),01/07/2020,61700,14A(1),6A(1),01/07/2019,61700,14A(1),6A(1),
254,WARREN,2848683,NORMAL,"",,5,"MABLE ST","WARREN",2824,"1/855867",E4,2839,M,01/07/2023,50400,14A(1),6A(1),01/07/2022,50400,14A(1),6A(1),01/07/2021,45900,14A(1),6A(1),01/07/2020,45900,14A(1),6A(1),01/07/2019,36000,14A(1),6A(1),
254,WARREN,2878252,NORMAL,"BELVINE",,,"BOOKA RD","THE MARRA",2831,"15/751567 24, 25/751578 PT 7002, 7003/1059568 Licence 334815",RU1,3491,H,01/07/2023,1870000,14A(1),14I,01/07/2022,1500000,14A(1),14I,01/07/2021,1200000,14A(1),14I,01/07/2020,1150000,14A(1),14I,01/07/2019,1150000,14A(1),14I,
254,WARREN,2878253,NORMAL,"SAMS BLOCK",,,"","WARREN",2824,"22/751614",RU1,415.6,H,01/07/2023,232000,14A(1),6A(1),01/07/2022,186000,14A(1),6A(1),01/07/2021,149000,14A(1),6A(1),01/07/2020,142000,14A(1),6A(1),01/07/2019,142000,14A(1),6A(1),
254,WARREN,2878704,NORMAL,"",,25,"HILTON LANE","WARREN",2824,"15/755314",R5,3.37,H,01/07/2023,148000,14A(1),6A(3),01/07/2022,141000,14A(1),6A(3),01/07/2021,135000,14A(1),6A(3),01/07/2020,113000,14A(1),6A(3),01/07/2019,114000,14A(1),6A(3),
